full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city
2017 Maruti Baleno 1.2 Alpha,5.45,2017,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra
2018 Tata Hexa XTA,10.0,2018,1949.5,Third Party insurance,Automatic,70000.0,First Owner,Diesel,153.86,5.0,17.6,MUV,Agra
2015 Maruti Swift Dzire VXI,4.5,2015,1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra
2015 Maruti Swift Dzire VXI,4.5,2015,1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra
2009 Hyundai i10 Magna 1.1,1.6,2009,1086.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra
2015 Hyundai i20 Active 1.2,4.7,2015,1197.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,81.86,5.0,17.19,Hatchback,Agra
2017 Tata Tiago 1.05 Revotorq XZ,3.6,2017,1047.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,69.0,5.0,27.28,Hatchback,Agra
2010 Hyundai i10 Magna 1.1,2.0,2010,1086.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra
2016 Maruti Eeco 7 Seater Standard BSIV,3.7,2016,1196.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,73.0,5.0,15.37,Minivans,Agra
2009 Hyundai Santro Xing GL,1.2,2009,1086.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,62.0,5.0,0.0,Hatchback,Agra
2014 Honda Amaze E i-Vtech,3.3,2014,1198.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,86.7,5.0,18.0,Sedan,Agra
2018 Hyundai Xcent 1.2 VTVT SX,4.75,2018,1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra
2020 Maruti Ciaz Sigma BSIV,6.86,2020,1462.0,Third Party insurance,Manual,50000.0,Third Owner,Petrol,103.25,5.0,21.56,Sedan,Agra
2021 Hyundai Venue SX Opt Executive Diesel,12.5,2021,1493.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,98.6,5.0,23.7,SUV,Agra
2021 Hyundai Venue SX Dual Tone Diesel BSIV,11.0,2021,1396.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,89.0,5.0,23.7,SUV,Agra
2019 Maruti Alto K10 VXI AGS Optional,3.95,2019,998.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,67.1,5.0,23.95,Hatchback,Agra
2016 Maruti Wagon R LXI CNG,3.5,2016,998.0,Third Party insurance,Manual,40000.0,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra
2011 Toyota Etios VX,2.89,2011,1496.0,Third Party insurance,Manual,50000.0,Second Owner,Petrol,88.7,5.0,17.6,Sedan,Agra
2011 Toyota Corolla Altis Diesel D4DGL,2.82,2011,1364.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,87.2,5.0,21.43,Sedan,Agra
2021 Kia Sonet HTX Plus Turbo iMT BSVI,10.0,2021,998.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,118.36,5.0,18.2,SUV,Agra
2020 Maruti Ciaz Alpha BSVI,7.85,2020,1462.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra
2014 Ford Ecosport 1.5 DV5 MT Ambiente,3.0,2014,1498.0,Third Party insurance,Manual,150000.0,Third Owner,Diesel,89.84,5.0,22.7,SUV,Agra
2011 Mitsubishi Outlander 2.4,3.97,2011,1949.5,Third Party insurance,Automatic,80000.0,Second Owner,Petrol,170.0,5.0,11.3,SUV,Agra
2015 Maruti Swift Dzire VDI,3.75,2015,1248.0,Third Party insurance,Manual,20000.0,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra
2011 Maruti Alto K10 LXI,1.0,2011,998.0,Third Party insurance,Manual,120000.0,Third Owner,Petrol,67.1,5.0,20.92,Hatchback,Agra
2011 Mitsubishi Outlander 2.4,3.97,2011,1949.5,Third Party insurance,Automatic,80000.0,Second Owner,Petrol,170.0,5.0,11.3,SUV,Agra
2021 Maruti Baleno Zeta,6.75,2021,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra
2018 Hyundai Xcent 1.2 VTVT SX,4.65,2018,1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra
2015 Maruti Swift Dzire VXI,4.8,2015,1197.0,Third Party insurance,Manual,80000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra
2014 Maruti Alto 800 LXI,2.25,2014,796.0,Third Party insurance,Manual,100000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra
2016 Maruti Wagon R VXI Optional,3.2,2016,998.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra
2015 Hyundai Grand i10 Sportz,4.15,2015,1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra
2012 Maruti Swift VDI,2.4,2012,1248.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,74.0,5.0,22.9,Hatchback,Agra
